,model,option,year,odometer,fuel,price,car
7244,그랜저 TG,LPI Q270 모범형,08/01식,160000,LPG(일반인 구입),299,grandure
7245,그랜저 HG,HG330 셀러브리티,12/04식,238665,가솔린,599,grandure
7246,그랜저 HG,LPG HG300 모던,16/04식(17년형),116561,LPG(일반인 구입),1390,grandure
7247,그랜저 IG,3.0 익스클루시브,18/02식,66412,가솔린,2399,grandure
7248,그랜저 HG,HG240 럭셔리,11/02식,144031,가솔린,480,grandure
7249,그랜저 IG,2.4 프리미엄,18/02식,130391,가솔린,1750,grandure
7250,그랜저 IG 하이브리드,프리미엄,17/11식(18년형),131420,가솔린+전기,2050,grandure
7251,그랜저 IG,2.4 모던,17/03식,142630,가솔린,1590,grandure
7252,그랜저 IG,3.0 LPi 모던 (렌터카),18/01식,153768,LPG(일반인 구입),1560,grandure
7253,그랜저 HG,HG300 프라임,12/11식,152547,가솔린,750,grandure
7254,그랜저 IG,2.4 프리미엄 스페셜,17/09식(18년형),84977,가솔린,2150,grandure
7255,그랜저 IG,2.4 프리미엄,18/06식(19년형),62861,가솔린,2470,grandure
7256,그랜저 TG,LPI Q270 개인형,05/12식(06년형),377000,LPG(일반인 구입),250,grandure
7257,그랜저 IG,3.0 익스클루시브 스페셜,17/08식(18년형),51115,가솔린,2750,grandure
7258,그랜저 HG,HG240 모던,15/12식(16년형),165223,가솔린,990,grandure
7259,그랜저 HG,HG240 모던,13/05식(14년형),170007,가솔린,760,grandure
7260,그랜저 IG,2.4 프리미엄,18/06식(19년형),62861,가솔린,2470,grandure
7261,그랜저 HG,HG240 럭셔리,12/04식,128868,가솔린,860,grandure
7262,그랜저 HG,HG240 럭셔리,11/05식,122172,가솔린,890,grandure
7263,그랜저 HG,HG240 럭셔리,11/10식(12년형),69779,가솔린,1230,grandure
7264,그랜저 HG,HG300 로얄,12/11식,115978,가솔린,1240,grandure
7265,그랜저 HG,HG240 럭셔리,11/03식,211883,가솔린,650,grandure
7266,그랜저 HG,HG300 익스클루시브,15/06식,98977,가솔린,1520,grandure
7267,그랜저 HG,LPG HG300 프라임,12/08식,88581,LPG(일반인 구입),1150,grandure
7268,그랜저 TG,Q270 디럭스 모젠팩,07/10식(08년형),132937,가솔린,299,grandure
7269,그랜저 HG,HG220 디젤 프리미엄,14/10식(15년형),249000,디젤,949,grandure
7270,그랜저 IG,3.0 익스클루시브 스페셜,19/03식,79000,가솔린,2700,grandure
7271,그랜저 HG,LPG HG300 프라임,12/08식,180636,LPG(일반인 구입),890,grandure
7272,그랜저 IG,2.2 디젤 프리미엄 스페셜,17/03식,118408,디젤,2290,grandure
7273,그랜저 HG,HG300 로얄,11/03식,119501,가솔린,820,grandure
